NO,name,smi,Dataset,logPapp
C-1240,324-Domperidone,Clc1cc2NC(=O)N(c2cc1)C1CCN(CC1)CCCN1c2c(NC1=O)cccc2,Tr,-5.4202166
C-1281,677-Prednisolone,O=C1C=C2CC[C@@H]3[C@@H]([C@@]2(C=C1)C)[C@@H](O)C[C@]1([C@H]3CC[C@]1(O)C(=O)CO)C,Tr,-5.4436975
C-1282,679-Captopril (Cap),SC[C@H](C(=O)N1CCC[C@@H]1C(O)=O)C,Tr,-4.8153086
C-1288,732-Amitriptyline,N(CC\C=C/1\c2c(CCc3c\1cccc3)cccc2)(C)C,Tr,-3.9006648
C-1290,745-Fenoprofen,O(c1cc(ccc1)C(C(O)=O)C)c1ccccc1,Tr,-4.9469213
C-1291,748-Mefenamic Acid,OC(=O)c1ccccc1Nc1cccc(C)c1C,Tr,-4.7471471
C-1301,801-Yohimbine (YOH),O[C@@H]1CC[C@H]2[C@@H](C[C@H]3N(CCc4c5c([nH]c34)cccc5)C2)[C@@H]1C(OC)=O,Tr,-4.8124795
C-1303,808-Asn-Ala-NH2,O=C(NC(C(=O)N)C)C(N)CC(=O)N,Tr,-6.5885487
C-1337,1033-Dextromethorphan (DEM),O(C)c1cc2[C@@]34[C@@H]([C@H](N(CC3)C)Cc2cc1)CCCC4,Tr,-4.628932
C-670,014-Ampicillin,S1[C@]2(N([C@@H](C(O)=O)C1(C)C)C(=O)[C@H]2NC(=O)[C@H](N)c1ccccc1)C,Tr,-6.1023731
C-672,016-Ceftibuten,s1cc(nc1N)/C(=C\CC(O)=O)/C(=O)NC1C2SCC=C(N2C1=O)C(O)=O,Tr,-6.0604806
C-682,032-Phenytoin,O=C1NC(=O)NC1(c1ccccc1)c1ccccc1,Tr,-4.5293937
C-686,039-Chlorpromazine,Clc1cc2N(c3c(Sc2cc1)cccc3)CCCN(C)C,Tr,-5.062984
C-688,041-Nicotine,n1cc(ccc1)C1N(CCC1)C,Tr,-4.6084766
C-705,069-Sulfapyridine,S(=O)(=O)(Nc1ncccc1)c1ccc(N)cc1,Tr,-4.6675615
C-731,102-diazepam,Clc1cc2c(N(C)C(=O)CN=C2c2ccccc2)cc1,Tr,-4.1738386
C-735,107-zidovudine,O1[C@H](CO)[C@@H]([N-][NH+]=N)C[C@@H]1N1C=C(C)C(=O)NC1=O,Tr,-5.1850867
C-751,133-practolol,O(CC(O)CNC(C)C)c1ccc(NC(=O)C)cc1,Tr,-5.6009035
C-763,148-Ciprofloxacin (CIP),Fc1cc2c(N(C=C(C(O)=O)C2=O)C2CC2)cc1N1CCNCC1,Tr,-5.3159404
C-765,150-Artesunate,O1[C@H]2O[C@H](OC(=O)CCC(O)=O)[C@@H]([C@H]3[C@@]24OOC1(CC[C@H]4[C@@H](CC3)C)C)C,Tr,-5.4001169
C-768,153-V,[Cl-].O(CC)c1cc(NC(OCC[NH+]2CCCC2)=O)ccc1,Tr,-4.5528421
C-769,154-VIII,[Cl-].O(CCC)c1cc(NC(OCC[NH+]2CCCC2)=O)ccc1,Tr,-4.5686364
C-770,155-XI,[Cl-].O(CCCC)c1cc(NC(OCC[NH+]2CCCC2)=O)ccc1,Tr,-4.5850267
C-771,157-XVII,[Cl-].O(CCCCCC)c1cc(NC(OCC[NH+]2CCCC2)=O)ccc1,Tr,-5.4814858
C-777,167-cephradine,S1[C@H]2N(C(C(O)=O)=C(C1)C)C(=O)[C@H]2NC(=O)[C@@H](N)C=1CC=CCC=1,Tr,-5.6925039
C-780,170-Grepafloxacin hydrochloride (GRX),Fc1c(c2c(N(CC(C(O)=O)C2=O)C2CC2)cc1N1CC(NCC1)C)C,Tr,-4.9825492
C-783,174-Guanabenz,Clc1cccc(Cl)c1\C=N\N=C(\N)/N,Tr,-4.3634119
C-784,175-Lidocaine,O=C(Nc1c(cccc1C)C)CN(CC)CC,Tr,-4.2099967
C-801,205-Fluoxetine,FC(F)(F)c1ccc(OC(CCNC)c2ccccc2)cc1,Tr,-4.9299622
C-825,243-Famotidine,s1cc(nc1\N=C(\N)/N)CSCC/C(=N\S(=O)(=O)N)/N,Tr,-5.9488473
C-827,247-Lobucavir,O=C1N=C(Nc2n(cnc12)[C@@H]1C[C@H](CO)[C@H]1CO)N,Tr,-6.0555172
C-838,263-Amrinone,O=C1NC=C(C=C1N)c1ccncc1,Tr,-4.7544875
C-842,271-Isradipine,o1nc2c(n1)cccc2C1C(C(OC(C)C)=O)=C(NC(C)=C1C(OC)=O)C,Tr,-4.0545316
C-845,275-Minoxidil,ON1C(N)=CC(=NC1=N)N1CCCCC1,Tr,-4.9956784
C-847,277-Omeprazole,S(=O)(Cc1ncc(C)c(OC)c1C)c1[nH]c2cc(OC)ccc2n1,Tr,-4.1706963
C-848,278-Pefloxacin,Fc1cc2c(N(C=C(C(O)=O)C2=O)CC)cc1N1CCN(CC1)C,Tr,-4.6020598
C-852,285-Ephedrine,O[C@H]([C@@H](NC)C)c1ccccc1,Tr,-4.9913998
C-904,388-Pyridoxine (Vitamin B6),Oc1c(CO)c(cnc1C)CO,Tr,-5.1524272
C-907,403-Atorvastatin,Fc1ccc(cc1)-c1n(CC[C@H](O)C[C@H](O)CC(O)=O)c(C(C)C)c(C(=O)Nc2ccccc2)c1-c1ccccc1,Tr,-5.309804
C-946,"453-(2E,4E,8Z,10Z)-N-Isobutyldodeca-2,4,8,10-tetraenamide (5) mw=247",O=C(NCC(C)C)\C=C\C=C\CC\C=C/C=C\C,Tr,-4.2441254
C-999,"643-(2E,4E,8Z)-N-isobutyldodeca-2,4,8-trienamide (6) mw = 249",O=C(NCC(C)C)\C=C\C=C\CC\C=C/CCC,Tr,-4.6989698
D-1340,Acrivastine,OC(=O)\C=C\c1nc(ccc1)/C(=C\CN1CCCC1)/c1ccc(cc1)C,Tr,-5.720623
D-1343,Alprazolam,Clc1cc2c(-n3c(nnc3C)CN=C2c2ccccc2)cc1,Tr,-4.2572265
D-1344,Alprenolol,O(CC(O)CNC(C)C)c1ccccc1CC=C,Tr,-4.3702068
D-1347,Amiloride,Clc1nc(C(=O)N=C(N)N)c(nc1N)N,Tr,-5.6300001
D-1349,Aminopyrine,O=C1N(N(C)C(C)=C1N(C)C)c1ccccc1,Tr,-4.3894196
D-1351,Amitriptyline,N(CCC=C1c2c(CCc3c1cccc3)cccc2)(C)C,Tr,-4.2600002
D-1352,Amphetamine sulfate,N[C@H](Cc1ccccc1)C,Tr,-4.3899999
D-1353,Ampicillin,S1C2N(C(C(O)=O)C1(C)C)C(=O)C2NC(=O)C(N)c1ccccc1,Tr,-6.0700002
D-1355,Artesunate,O1C2OC3(OOC24C(CCC(C4CC3)C)C(C)C1OC(=O)CCC(O)=O)C,Tr,-5.4000001
D-1356,Astemizole,Fc1ccc(cc1)Cn1c2c(nc1NC1CCN(CC1)CCc1ccc(OC)cc1)cccc2,Tr,-5.1500001
D-1357,Atorvastatin,Fc1ccc(cc1)-c1n(CC[C@@H](O)C[C@@H](O)CC(O)=O)c(C(C)C)c(C(=O)Nc2ccccc2)c1-c1ccccc1,Tr,-5.3099999
D-1363,Betaxolol,O(CC(O)CNC(C)C)c1ccc(cc1)CCOCC1CC1,Tr,-4.3156309
D-1364,Bicalutamide,S(=O)(=O)(CC(O)(C(=O)Nc1cc(C(F)(F)F)c(cc1)C#N)C)c1ccc(F)cc1,Tr,-4.6599998
D-1365,Bisoprolol,O(CC(O)CNC(C)C)c1ccc(cc1)COCCOC(C)C,Tr,-4.7600002
D-1367,Bromazepam,Brc1cc2c(NC(=O)CN=C2c2ncccc2)cc1,Tr,-4.4000001
D-1368,Bromocriptine,Brc1[nH]c2c3c1C[C@H]1N(C[C@@H](C=C1c3ccc2)C(=O)N[C@@]1(O[C@]2(O)N([C@@H](CC(C)C)C(=O)N3[C@H]2CCC3)C1=O)C(C)C)C,Tr,-5.7800002
D-1369,Brompheniramine,Brc1ccc(cc1)C(CCN(C)C)c1ncccc1,Tr,-4.6599998
D-1370,Budesonide,O1[C@@]2([C@H](OC1CCC)C[C@H]1[C@H]3[C@@H]([C@@]4(C(=CC(=O)C=C4)CC3)C)[C@@H](O)C[C@@]12C)C(=O)CO,Tr,-4.79
D-1371,Bupropion,Clc1cc(ccc1)C(=O)C(NC(C)(C)C)C,Tr,-3.9519544
D-1373,Camazepam,Clc1cc2c(N(C)C(=O)C(OC(=O)N(C)C)N=C2c2ccccc2)cc1,Tr,-4.46
D-1374,Captopril (Cap),SC[C@H](C(=O)N1CCC[C@H]1C(O)=O)C,Tr,-4.8200002
D-1378,Cefuroxime,S1C2N(C(=O)C2NC(=O)C(=NOC)c2occc2)C(C(O)=O)=C(C1)COC(=O)N,Tr,-6.29
D-1379,Celecoxib,S(=O)(=O)(N)c1ccc(-n2nc(cc2-c2ccc(cc2)C)C(F)(F)F)cc1,Tr,-4.8050604
D-1381,Cephradine,S1[C@H]2N(C(C(O)=O)=C(C1)C)C(=O)[C@H]2NC(=O)[C@H](N)C=1CC=CCC=1,Tr,-5.54
D-1382,Cetirizine,Clc1ccc(cc1)C(N1CCN(CC1)CCOCC(O)=O)c1ccccc1,Tr,-5.5
D-1384,Chloroquine,Clc1cc2nccc(NC(CCCN(CC)CC)C)c2cc1,Tr,-4.5500002
D-1386,Chlorpheniramine,Clc1ccc(cc1)C(CCN(C)C)c1ncccc1,Tr,-4.2800002
D-1387,Chlorpromazine,Clc1cc2N(c3c(Sc2cc1)cccc3)CCCN(C)C,Tr,-4.75
D-1388,Chlorprothixene,Clc1cc\2c(Sc3c(cccc3)/C/2=C/CCN(C)C)cc1,Tr,-4.7399998
D-1389,Chlortetracycline,Clc1c2c(C(O)=C3[C@H](C[C@@H]4[C@@](O)(C(O)=C(C(=O)N)C(=O)[C@H]4N(C)C)C3=O)[C@@]2(O)C)c(O)cc1,Tr,-6.3200002
D-1390,Chlorzoxazone,Clc1cc2NC(Oc2cc1)=O,Tr,-4.1900001
D-1391,Ciprofloxacin (CIP),Fc1cc2c(N(C=C(C(O)=O)C2=O)C2CC2)cc1N1CCNCC1,Tr,-5.4099998
D-1393,Clarithromycin,O1[C@H](CC)[C@](O)(C)[C@H](O)[C@@H](C)C(=O)[C@@H](C[C@](OC)(C)[C@H](O[C@@H]2O[C@@H](C[C@H](N(C)C)[C@H]2O)C)[C@@H](C)[C@H](O[C@@H]2O[C@@H](C)[C@H](O)[C@](OC)(C2)C)[C@@H](C)C1=O)C,Tr,-5.4699998
D-1394,Clonidine,Clc1cccc(Cl)c1NC=1NCCN=1,Tr,-4.497726
D-1395,Clozapine,Clc1cc2NC(N3CCN(CC3)C)=C3C(=Nc2cc1)C=CC=C3,Tr,-4.5100002
D-1396,Codeine,O1C2C34C(C(N(CC3)C)Cc3c4c1c(OC)cc3)C=CC2O,Tr,-4.2800002
D-1398,Cycloserine,O1NC(=O)C(N)C1,Tr,-5.4400001
D-1401,Danazol,o1ncc2C[C@]3([C@H]4[C@@H]([C@H]5CC[C@](O)(C#C)[C@@]5(CC4)C)CCC3=Cc12)C,Tr,-4.561461
D-1406,Dextromethorphan,O(C)c1cc2C34C(C(N(CC3)C)Cc2cc1)CCCC4,Tr,-4.7399998
D-1407,Diazepam,Clc1cc2c(N(C)C(=O)CN=C2c2ccccc2)cc1,Tr,-4.3899999
D-1408,Diclofenac,Clc1cccc(Cl)c1Nc1ccccc1CC(O)=O,Tr,-4.460681
D-1410,Diflunisal,Fc1cc(F)ccc1-c1cc(C(O)=O)c(O)cc1,Tr,-4.7399998
D-1411,Digoxin,O1CC(=CC1=O)C1CC[C@]2(O)[C@H]3[C@H](C[C@@H](O)[C@]12C)[C@]1([C@@H](C[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@@H]4O[C@H](C)[C@@H](O[C@@H]5O[C@H](C)[C@@H](O)[C@@H](O)C5)[C@@H](O)C4)[C@@H](O)C2)CC1)CC3)C,Tr,-5.6316042
D-1412,Diltiazem,S1c2c(N(CCN(C)C)C(=O)[C@H](OC(=O)C)[C@@H]1c1ccc(OC)cc1)cccc2,Tr,-4.4043612
D-1417,Domperidone,Clc1cc2NC(=O)N(c2cc1)C1CCN(CC1)CCCN1c2c(NC1=O)cccc2,Tr,-5.4099998
D-1419,Efavirenz,Clc1cc2c(NC(O[C@]2(C#CC2CC2)C(F)(F)F)=O)cc1,Tr,-4.0500002
D-1420,Emetine,O(C)c1cc2c(cc1OC)CCN[C@@H]2C[C@H]1C[C@@H]2N(C[C@@H]1CC)CCc1cc(OC)c(OC)cc12,Tr,-5.6900001
D-1422,Enalaprilat,OC(=O)[C@@H]1N(CCC1)C(=O)[C@@H](N[C@H](CCc1ccccc1)C(O)=O)C,Tr,-5.8800001
D-1427,Exemestane,O=C1CC[C@H]2[C@H]3[C@H](CC[C@]12C)[C@@]1(C(=CC(=O)C=C1)C(C3)=C)C,Tr,-4.3299999
D-1428,Ephedrine; Pseudoephedrine,OC(C(NC)C)c1ccccc1,Tr,-4.9899998
D-1431,Ethionamide,S=C(N)c1cc(ncc1)CC,Tr,-4.4000001
D-1434,Etoricoxib,Clc1cc(c(nc1)-c1ccc(nc1)C)-c1ccc(S(=O)(=O)C)cc1,Tr,-4.2800002
D-1436,Felodipine,Clc1c(cccc1Cl)C1C(C(OCC)=O)=C(NC(C)=C1C(OC)=O)C,Tr,-4.640985
D-1437,Fenoprofen,O(c1cc(ccc1)C(C(O)=O)C)c1ccccc1,Tr,-4.9499998
D-1441,Fluconazole,Fc1cc(F)ccc1C(O)(Cn1ncnc1)Cn1ncnc1,Tr,-4.5524945
D-1442,Fluoxetine,O(C(CCNC)c1ccccc1)c1ccc(cc1)C,Tr,-4.5500002
D-1443,Fluparoxan (GR50360A),Fc1c2O[C@@H]3[C@H](Oc2ccc1)CNC3,Tr,-3.729485
D-1444,Flupenthixol,S1c2c(cc(cc2)C(F)(F)F)\C(\c2c1cccc2)=C/CCN1CCN(CC1)CCO,Tr,-4.8899999
D-1445,Flutamide (FLT),FC(F)(F)c1cc(NC(=O)C(C)C)ccc1N(O)O,Tr,-4.3200002
D-1446,Fluvastatin,Fc1ccc(cc1)-c1c2c(n(C(C)C)c1\C=C\[C@H](O)C[C@H](O)CC(O)=O)cccc2,Tr,-5.6999998
D-1450,Gancyclovir,O=C1NC(=Nc2n(cnc12)COC(CO)CO)N,Tr,-6.1012278
D-1452,Glipizide,S(=O)(=O)(NC(=O)NC1CCCCC1)c1ccc(cc1)CCNC(=O)c1ncc(nc1)C,Tr,-4.7199998
D-1453,Glutaminic Acid,OC(=O)C(N)CCC(O)=O,Tr,-6.0700002
D-1454,Grepafloxacin HCl,Fc1c(c2c(N(C=C(C(O)=O)C2=O)C2CC2)cc1N1CC(NCC1)C)C,Tr,-4.8899999
D-1455,Griseofulvin,Clc1c2O[C@]3([C@@H](CC(=O)C=C3OC)C)C(=O)c2c(OC)cc1OC,Tr,-4.305563
D-1456,Guanabenz,Clc1cccc(Cl)c1C=NN=C(N)N,Tr,-4.3299999
D-1457,Guanoxan,O1c2c(OCC1C\N=C(\N)/N)cccc2,Tr,-4.8200002
D-1458,Haloperidol,Clc1ccc(cc1)C1(O)CCN(CC1)CCCC(=O)c1ccc(F)cc1,Tr,-4.71
D-1461,Hydrocortisone,O=C1CC[C@@]2([C@@H]3[C@H]([C@@H]4CC[C@](O)(C(=O)CO)[C@]4(C[C@@H]3O)C)CCC2=C1)C,Tr,-4.54
D-1462,Ibuprophen,OC(=O)C(C)c1ccc(cc1)CC(C)C,Tr,-4.3433752
D-1463,Ibuproxam,O=C(NO)C(C)c1ccc(cc1)CC(C)C,Tr,-4.6300001
D-1464,Imatinib,O=C(Nc1cc(Nc2nc(ccn2)-c2cccnc2)c(cc1)C)c1ccc(cc1)CN1CCN(CC1)C,Tr,-5.3899999
D-1466,Indinavir,O[C@@H]1Cc2c(cccc2)[C@@H]1NC(=O)[C@H](Cc1ccccc1)C[C@H](O)CN1CCN(C[C@H]1C(=O)NC(C)(C)C)Cc1cccnc1,Tr,-5.6900001
D-1469,Isoxicam,S1(=O)(=O)N(C)C(=C(O)Nc2noc(c2)C)C(=O)c2c1cccc2,Tr,-4.6100001
D-1470,Isradipine,o1nc2c(n1)cccc2C1C(C(OC(C)C)=O)=C(NC(C)=C1C(OC)=O)C,Tr,-4.0500002
D-1472,Ketanserin,Fc1ccc(cc1)C(=O)C1CCN(CC1)CCN1C(=O)c2c(NC1=O)cccc2,Tr,-4.4400001
D-1475,Ketorolac,OC(=O)C1CCn2c1ccc2C(=O)c1ccccc1,Tr,-5.3699999
D-1477,Labetalol,Oc1ccc(cc1C(=O)N)C(O)CNC(CCc1ccccc1)C,Tr,-4.895062
D-1478,Lamivudine,S1C[C@H](O[C@H]1CO)N1C=CC(=NC1=O)N,Tr,-5.4200001
D-1483,Lidocaine,O=C(Nc1c(cccc1C)C)CN(CC)CC,Tr,-4.73
D-1485,Lisinopril,OC(=O)[C@@H]1N(CCC1)C(=O)[C@@H](N[C@@H](CCc1ccccc1)C(O)=O)CCCCN,Tr,-6.6599998
D-1487,Lomefloxacin,Fc1c2N(C=C(C(O)=O)C(=O)c2cc(F)c1N1CC(NCC1)C)CC,Tr,-4.8000002
D-1488,Loperamide HCl,Clc1ccc(cc1)C1(O)CCN(CC1)CCC(C(=O)N(C)C)(c1ccccc1)c1ccccc1,Tr,-4.9699998
D-1491,Lobucavir,O=C1NC(=Nc2n(cnc12)C1[C@H](C[C@@H]1CO)CO)N,Tr,-6.0599999
D-1493,Losartan,Clc1nc(n(Cc2ccc(cc2)-c2ccccc2-c2[nH]nnn2)c1CO)CCCC,Tr,-6.0727587
D-1494,Lovastatin,O1C(CC(O)CC1=O)CCC1C2C(=CC(CC2OC(=O)C(CC)C)C)C=CC1C,Tr,-4.8400002
D-1495,Loxoprofen,O=C1CCCC1Cc1ccc(cc1)C(C(O)=O)C,Tr,-4.3499999
D-1496,Mebendazole,O(C(=O)Nc1[nH]c2cc(ccc2n1)C(=O)c1ccccc1)C,Tr,-4.5100002
D-1497,Mefenamic acid,OC(=O)c1ccccc1Nc1cccc(C)c1C,Tr,-4.75
D-1498,Meloxicam,s1c(cnc1N/C(/O)=C/1\N(S(=O)(=O)c2c(cccc2)C\1=O)C)C,Tr,-4.7058601
D-1500,Metformin HCl,N(C(N=C(N)N)=N)(C)C,Tr,-5.5154095
D-1502,Methotrexate,OC(=O)CC[C@H](NC(=O)c1ccc(N(Cc2nc3c(nc(nc3N)N)nc2)C)cc1)C(O)=O,Tr,-6.4000001
D-1504,Methylprednisolone,O=C1C=C2[C@@]([C@@H]3[C@H]([C@@H]4CC[C@](O)(C(=O)CO)[C@]4(C[C@@H]3O)C)C[C@@H]2C)(C=C1)C,Tr,-5.1161518
D-1506,Metoclopramide,Clc1cc(C(=O)NCCN(CC)CC)c(OC)cc1N,Tr,-4.6500001
D-1507,Metolazone,Clc1cc2N[C@H](N(c3ccccc3C)C(=O)c2cc1S(=O)(=O)N)C,Tr,-5.3049202
D-1509,Minoxidil,ON1C(N)=CC(=NC1=N)N1CCCCC1,Tr,-5
D-1510,Morphine,O1[C@@H]2[C@]34[C@H]([C@H](N(CC3)C)Cc3c4c1c(O)cc3)C=C[C@@H]2O,Tr,-5.0999999
D-1512,Nelfinavir,S(C[C@H](NC(=O)c1cccc(O)c1C)[C@H](O)CN1C[C@@H]2[C@H](C[C@H]1C(=O)NC(C)(C)C)CCCC2)c1ccccc1,Tr,-6.1500001
D-1513,Netivudine (882C87),O1[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1N1C=C(C#CC)C(=O)NC1=O,Tr,-5.1687455
D-1515,Nicardipine,O(C(=O)C=1C(C(C(OC)=O)=C(NC=1C)C)c1cc(N(O)O)ccc1)CCN(Cc1ccccc1)C,Tr,-4.9305754
D-1516,Nicotine,n1cc(ccc1)C1N(CCC1)C,Tr,-4.3899999
D-1517,Nifedipine,O(C(=O)C=1C(C(C(OC)=O)=C(NC=1C)C)c1ccccc1N(O)O)C,Tr,-4.3319983
D-1518,Nisoldipine,O(C(=O)C=1C(C(C(OC)=O)=C(NC=1C)C)c1ccccc1N(O)O)CC(C)C,Tr,-4.6999998
D-1519,Nitrendipine,O(C(=O)C=1C(C(C(OC)=O)=C(NC=1C)C)c1cc(N(O)O)ccc1)CC,Tr,-4.6200309
D-1522,Ofloxacin,Fc1cc2c3N(C=C(C(O)=O)C2=O)C(COc3c1N1CCN(CC1)C)C,Tr,-4.7915874
D-1523,Olopatadine,O1Cc2c(cccc2)/C(/c2cc(ccc12)CC(O)=O)=C/CCN(C)C,Tr,-5.0100002
D-1525,Omeprazole,S(=O)(Cc1ncc(C)c(OC)c1C)c1[nH]c2cc(OC)ccc2n1,Tr,-4.2600002
D-1528,Ouabain,O1CC(=CC1=O)[C@H]1CC[C@]2(O)[C@H]3[C@@H]([C@@]4(CO)[C@@](O)(C[C@@H](O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)C[C@H]4O)CC3)[C@H](O)C[C@]12C,Tr,-6.9593034
D-1529,Oxazepam,Clc1cc2c(NC(=O)C(O)N=C2c2ccccc2)cc1,Tr,-3.9282689
D-1531,Oxaprozin,o1c(c(nc1CCC(O)=O)-c1ccccc1)-c1ccccc1,Tr,-4.48
D-1533,Papaverine (PAP),O(C)c1cc(ccc1OC)Cc1nccc2c1cc(OC)c(OC)c2,Tr,-4.4499998
D-1535,Pentoxifylline,O=C1N(CCCCC(=O)C)C(=O)N(c2ncn(c12)C)C,Tr,-4.1799998
D-1536,Pefloxacin,Fc1cc2c(N(C=C(C(O)=O)C2=O)CC)cc1N1CCN(CC1)C,Tr,-4.5999999
D-1538,Phenobarbital,O=C1NC(=O)NC(=O)C1(CC)c1ccccc1,Tr,-4.6300001
D-1542,Pindolol,O(CC(O)CNC(C)C)c1c2c([nH]cc2)ccc1,Tr,-4.4148674
D-1544,Piroxicam,S1(=O)(=O)N(C)C(C(=O)Nc2ncccc2)=C(O)c2c1cccc2,Tr,-4.4490995
D-1547,Practolol,O(CC(O)CNC(C)C)c1ccc(NC(=O)C)cc1,Tr,-5.6199999
D-1548,Pravastatin,O(C(=O)C(CC)C)[C@H]1[C@@H]2C(=C[C@H](O)C1)C=C[C@@H](C)[C@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O,Tr,-5.8699999
D-1549,Prazocin,Clc1ccoc1C(=O)N1CCN(CC1)c1nc(N)c2cc(OC)c(OC)cc2n1,Tr,-4.8899999
D-1550,Pranoprofen; pyranoprofen,O1c2c(cc(cc2)C(C(O)=O)C)Cc2cccnc12,Tr,-4.3899999
D-1551,Prednisolone,OC1[C@H]2[C@H]([C@@H]3CC[C@](O)(C(=O)CO)[C@]3(C1)C)CCC1=CC(=O)C=C[C@@]12C,Tr,-5.3699999
D-1554,Progesterone,O=C1CC[C@@]2([C@@H]3[C@H]([C@@H]4CC[C@H](C(=O)C)[C@]4(CC3)C)CCC2=C1)C,Tr,-4.2800002
D-1555,Promazine,S1c2c(N(c3c1cccc3)CCCN(C)C)cccc2,Tr,-4.3800001
D-1556,Promethazine,S1c2c(N(c3c1cccc3)CC(N(C)C)C)cccc2,Tr,-3.7777722
D-1557,Propylthiouracil (PTU),S=C1NC(=CC(=O)N1)CCC,Tr,-4.1700001
D-1559,Pyrimethamine,Clc1ccc(cc1)-c1c(nc(nc1N)N)CC,Tr,-4.23
D-1560,Quinidine,O(C)c1cc2c(nccc2C(O)[C@@H]2[N@@]3C[C@@H]([C@H](C2)CC3)C=C)cc1,Tr,-4.6799998
D-1562,Raloxifene HCl,s1c2c(ccc(O)c2)c(C(=O)c2ccc(OCCN3CCCCC3)cc2)c1-c1ccc(O)cc1,Tr,-5.7227535
D-1565,Remikiren (Ro 42-5892),S(=O)(=O)(C(C)(C)C)C[C@H](Cc1ccccc1)C(=O)N[C@@H](Cc1[nH]cnc1)C(=O)N[C@@H]([C@@H](O)[C@H](O)C1CC1)CC1CCCCC1,Tr,-6.1300907
D-1567,Reserpine,O(C)c1c(OC)cc(cc1OC)C(O[C@@H]1C[C@H]2[C@H](C[C@H]3N(CCc4c5c([nH]c34)cc(OC)cc5)C2)[C@H](C(OC)=O)[C@H]1OC)=O,Tr,-5.3699999
D-1569,Rifabutin,O1c2c3c4c(c(O)c2C)C(=O)C(NC(=O)/C(=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(=O)C)[C@H](C)[C@@H](OC)\C=C\O[C@]1(C)C3=O)/C)=C1NC2(N=C14)CCN(CC2)CC(C)C,Tr,-5.02
D-1570,Rifampicin,O1c2c3c4c(c(O)c2C)C(O)=C(NC(=O)C(=CC=C[C@@H](C)[C@H](O)[C@H](C)[C@H](O)[C@@H](C)[C@@H](OC(=O)C)[C@H](C)[C@H](OC)C=CO[C@]1(C)C3=O)C)\C(=C\NN1CCN(CC1)C)\C4=O,Tr,-5.399786
D-1574,Rofecoxib,S(=O)(=O)(N)c1ccc(cc1)C=1COC(=O)C=1c1ccccc1,Tr,-4.6199999
D-1579,Saquinavir,OC(C(NC(=O)C(NC(=O)c1nc2c(cc1)cccc2)CC(=O)N)Cc1ccccc1)CN1CC2C(CC1C(=O)NC(C)(C)C)CCCC2,Tr,-6.2800002
D-1583,Simvastatin,O1[C@@H](C[C@H](O)CC1=O)CC[C@H]1[C@H]2C(=C[C@H](C[C@H]2OC(=O)C(CC)(C)C)C)C=C[C@H]1C,Tr,-5.1700001
D-1584,Sorivudine (BVaraU),Br\C=C\C1=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)C(=O)NC1=O,Tr,-5.3899999
D-1585,Sotalol,S(=O)(=O)(Nc1ccc(cc1)C(O)CNC(C)C)C,Tr,-5.54
D-1586,Sparfloxacin (SPX),Fc1c(N2C[C@H](N[C@H](C2)C)C)c(F)c2N(C=C(C(O)=O)C(=O)c2c1N)C1CC1,Tr,-4.7784066
D-1587,Spironolactone,O(C)c1cc2c(nccc2[C@@H](O)[C@H]2N3C[C@H]([C@@H](C2)CC3)C=C)cc1,Tr,-4.5008955
D-1588,Stavudine (d4T),O1[C@@H](C=C[C@@H]1N1C=C(C)C(=O)NC1=O)CO,Tr,-5.3483939
D-1590,Sulfamethizole,s1c(nnc1NS(=O)(=O)c1ccc(N)cc1)C,Tr,-5.8393164
D-1595,Sulfisoxazole,S(=O)(=O)(Nc1onc(C)c1C)c1ccc(N)cc1,Tr,-4.77
D-1598,Sumatriptan,S(=O)(=O)(NC)Cc1cc2c([nH]cc2CCN(C)C)cc1,Tr,-5.6828976
D-1599,Tacrolimus,O1[C@H](/C(=C/[C@H]2C[C@@H](OC)[C@H](O)CC2)/C)[C@H](C)[C@@H](O)CC(=O)[C@@H](\C=C(\C[C@@H](C[C@H](OC)[C@H]2O[C@](O)([C@@H](C[C@@H]2OC)C)C(=O)C(=O)N2[C@@H](CCCC2)C1=O)C)/C)CC=C,Tr,-5.1500001
D-1601,Tamoxifen,O(CCN(C)C)c1ccc(cc1)\C(=C(/CC)\c1ccccc1)\c1ccccc1,Tr,-4.3221111
D-1603,Telmisartan,OC(=O)c1ccccc1-c1ccc(cc1)Cn1c2c(nc1CCC)c(cc(c2)-c1nc2c(n1C)cccc2)C,Tr,-4.7609282
D-1604,Tenidap,Clc1cc2c(n(C(=O)N)c(O)c2C(=O)c2sccc2)cc1,Tr,-4.3103647
D-1609,Testosterone,O=C1CC[C@@]2([C@@H]3[C@H]([C@@H]4CC[C@H](O)[C@]4(CC3)C)CCC2=C1)C,Tr,-4.3000002
D-1611,Thalidomide,O=C1NC(=O)CCC1N1C(=O)c2c(cccc2)C1=O,Tr,-4.6999998
D-1612,Tiacrilast (Ro 22-3747),S(C)c1cc2c(N=CN(\C=C\C(O)=O)C2=O)cc1,Tr,-4.8999872
